model,width_dp,height_dp,width_px,height_px,screen_in,is_touch
iPhone 3G,320,480,320,480,4,TRUE
iPhone 3GS,320,480,320,480,4,TRUE
iPhone 4,320,480,640,960,4,TRUE
iPhone SE,320,480,640,960,4,TRUE
iPhone 5,320,568,640,1136,4,TRUE
iPhone 6,375,667,750,1334,4.7,TRUE
iPhone 6s,375,667,750,1334,4.7,TRUE
iPhone 7+,414,736,1080,1920,5.5,TRUE
iPhone 6S+,414,736,1080,1920,5.5,TRUE
iPhone 6+,414,736,1080,1920,5.5,TRUE
iPhone 7,375,667,750,1334,4.7,TRUE
Galaxy Y,320,427,240,320,,TRUE
Nexus S,320,533,480,800,,TRUE
2016 Kindle Fire HD 8,1280,800,1280,800,8,TRUE
2015 Kindle Fire HD 10,1280,800,1280,800,10.1,TRUE
2015 Kindle Fire,1024,600,1024,600,7,TRUE
2014 Kindle Fire HDX 8.9,1600,2560,1600,2560,8.9,TRUE
2014 Kindle Fire HD 6,800,1280,800,1280,6,TRUE
iPad 3,768,1024,1536,2048,9.7,TRUE
iPad 4,768,1024,1536,2048,9.7,TRUE
iPad Air,768,1024,1536,2048,9.7,TRUE
iPad Air 2,768,1024,1536,2048,9.7,TRUE
iPad Pro 9.7in,768,1024,1536,2048,9.7,TRUE
iPad Mini 2,768,1024,1536,2048,7.9,TRUE
iPad Mini 3,768,1024,1536,2048,7.9,TRUE
iPad Mini 4,768,1024,1536,2048,7.9,TRUE
iPad Pro 12.9in,1024,1366,2048,2732,12.9,TRUE
2015 Macbook Pro 13in,1280,800,2560,1600,,FALSE
2015 Macbook Pro 15in,1440,900,2880,1800,,FALSE
2016 Macbook Pro 13in,1280,800,2560,1600,13.3,FALSE
2016 Macbook Pro 15in,1440,900,2880,1800,15.4,FALSE
2015 Macbook Air 13in,1440,900,1440,900,13.3,FALSE
2015 Macbook Air 11in,1366,768,1366,768,11.6,FALSE
Surface,,,1366,768,10.6,TRUE
Surface 2,,,1920,1080,10.6,TRUE
Surface 3,,,1920,1280,10.8,TRUE
2016 Surface Book,,,3000,2000,13.5,TRUE
Surface Pro,,,1920,1080,10.6,TRUE
Surface Pro 2,,,1920,1080,10.6,TRUE
Surface Pro 3,,,2160,1440,11.8,TRUE
Surface Pro 4,,,2736,1824,12.3,TRUE
Surface Studio,,,4500,3000,28,TRUE
Apple Watch 38mm,272,340,272,340,1.32,TRUE
Apple Watch 42mm,312,390,312,390,1.5,TRUE
576p,720,576,720,576,,
720p,1280,720,1280,720,,
1080p,1920,1080,1920,1080,,
